commit_sha,commit_time,release_tag,platform,project,status,error,install_size_bytes,bob_build_time_ms,open_time_ms,memory_after_open_bytes,build_time_ms,memory_after_build_bytes,memory_added_by_build_bytes,comment
8dcaf41c3e62779321c40f5c23a979ec5d94c9b0,2026-06-18T10:19:45Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314619809,44842,76128,3144761344,127073,3922280448,777519104,
a17be93c6c9ac834117c95e94d874f72574e8f88,2026-06-19T11:20:54Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,316083173,43316,73336,3148655616,116136,3917844480,769188864,
2154a10fa4dfca31497aa5b0f916980d26c61f2a,2026-06-22T15:34:52Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,316103692,45677,75499,3148030976,113955,3918225408,770194432,
2d3491b73d0111a76362fc68b2c4a7a5c19de142,2026-06-23T15:38:06Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,316339690,45586,75139,3158461440,124478,3931575296,773113856,
ecb8a0e9c108fc1d8ef93bf1624bf80285d01821,2026-06-24T14:17:38Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,failed,editor exited before project opened (exit 127),316743903,,,,,,,
5cb40959b213fe49036c207bf9c885d744411172,2026-06-25T12:29:58Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,failed,editor exited before project opened (exit 127),316753050,,,,,,,
88badcd04e1d98eb73446a0a36a343db6813bb22,2026-06-26T16:19:54Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,failed,editor exited before project opened (exit 127),319123832,,,,,,,
9472c60566d9c35e54b3b8a6a3315b532bedfb39,2026-06-28T12:02:42Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,319159197,45453,76947,3157895168,133146,3934778368,776883200,
d26ce6f4333eaf276dda6d5d6d77b9fa01ef1246,2026-06-29T17:31:55Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,319224772,40706,72998,3166411776,134601,3930807296,764395520,
1572b982e3c5831dbc43ca941a5246b36db02275,2026-06-30T09:10:59Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,319629279,47986,77759,3164480512,131409,3914392576,749912064,
160967679ddcf1d6b86f6dbd3f2a5f5cd1bfe09c,2026-07-01T22:26:21Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,317399056,45773,75689,3155060736,147907,3901725696,746664960,
bb19a601edce1c421ba3806154828aff5887217f,2026-07-02T11:49:39Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,317409294,43957,76996,3153420288,137920,3910637568,757217280,
c6bec7ea884a1d8555fabf4240b14ffdba547f9f,2026-07-03T13:18:29Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,317444072,42504,75072,3159137280,126482,3908513792,749376512,
2b1b69b921cd1ef6cecbbd2da40361bee1bafeea,2026-07-06T20:17:21Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,317460606,42039,76890,3147021312,116137,3895710720,748689408,
0957fbb186239df952587a5f5a3be921fe4fced4,2026-07-07T15:28:40Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,317569604,40847,72930,3151258624,108574,3891512320,740253696,
